,path,flow,name,node_id,thres_freq,type,rm_plant,rm_poll,codelengths,num_nodes,num_leaf_modules,max_depth,num_top_modules,entropy_rate,relative_codelength_savings
0,"(1, 1, 1)",0.17647058823529416,Euonymus,34,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
1,"(1, 1, 2)",0.024159663865546223,Corydalis,27,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
2,"(1, 1, 3)",0.01050420168067227,Rubus,70,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
3,"(1, 1, 4)",0.0,Xanthochroa luteipennis (Oed. : Col. ),1664,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
4,"(1, 1, 5)",0.0,Paratrichius doentzi (Sca. : Col. ),1497,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
5,"(1, 1, 6)",0.0,Parastrangalis nymphula (Cer. : Col. ),1495,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
6,"(1, 1, 7)",0.0,NITIDULIDAE6 (Nit. : Col. ),1474,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
7,"(1, 1, 8)",0.0,Leptura ochraceofasciata (Cer. : Col. ),1409,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
8,"(1, 1, 9)",0.0,Lasioglossum (Lasioglossum) sp.3 (Hal. : Hym. ),1394,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
9,"(1, 1, 10)",0.0,Lasioglossum (Et.) apristum (Hal. : Hym. ),1388,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
10,"(1, 1, 11)",0.0,Lasioglossum (El.) transpositum (Hal. : Hym. ),1387,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
11,"(1, 1, 12)",0.0,Gamepenthes versipellis (Ela. : Col. ),1321,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
12,"(1, 1, 13)",0.0,Bombus (Bombus) hypocrita hypocrita (Api. : Hym. ),1101,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
13,"(1, 1, 14)",0.0,Anthromacra viriclissima (Lag. : Col. ),1067,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
14,"(1, 1, 15)",0.0,ANTHOMYIIDAE50 (Ant. : Dip. ),1063,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
15,"(1, 1, 16)",0.0,Anoploderomorpha excavata (Cer. : Col. ),1035,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
16,"(1, 1, 17)",0.0,Andrena (Hoplandera) akitsushimae (And. : Hym. ),1023,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
17,"(1, 1, 18)",0.0,Andrena (Calomelissa) tsukubana (And. : Hym. ),1019,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
18,"(1, 2, 1)",0.056722689075630266,Castanea,21,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
